,product_title,product_url,product_breadcrumb,date,price,unit_price,loyalty_price,original_price,store_id,product_category,product_subcategory,product_subcategory_2,gender_breadcrumb,gender_title,price_per_unit,unit,labelling 
10736,Good Boy 150 Dog Poo Bags,http://groceries.asda.com/product/household--cleaning-essentials/good-boy--dog-poo-bags/910002359787,pet food & accessories > household & cleaning essentials > pet clean up essentials > cleaning essentials,2/12/2025,1.25,0.8p/each,,,3,pet food & accessories,household & cleaning essentials,pet clean up essentials,neutral,neutral,0.8,unit,Cyril
1734,Ashley Combination Luggage Strap - Blue,www.tesco.com/groceries/en-GB/products/325085178,sports & leisure > luggage & travel > luggage & bag accessories,2/1/2025,8.99,8.99 / each,,,1,sports & leisure,luggage & travel,luggage & bag accessories,neutral,neutral,8.99,unit,Cyril
65,Carta Sport Kernow Adjustable Rugby Kicking Tee - Black - One Size,www.tesco.com/groceries/en-GB/products/325115676,sports & leisure > ball sports > rugby,1/4/2025,25.99,25.99 / each,,,1,sports & leisure,ball sports,rugby,neutral,neutral,25.99,unit,Cyril
2581,Adult Lost Shoe Princess Fancy Dress Up Costume,https://www.tesco.com/groceries/en-GB/products/325320973,sports & leisure > hobbies & creative arts > art & crafts materials & supplies,2/10/2025,13.99,13.99 / each,,,1,sports & leisure,hobbies & creative arts,art & crafts materials & supplies,neutral,neutral,13.99,unit,Cyril
2425,OHS 4 Wheel Hard Shell Travel Luggage Suitcase Set of 3 - Sea Blue,www.tesco.com/groceries/en-GB/products/325101716,sports & leisure > luggage & travel > suitcases,2/10/2025,72.99,72.99 / each,,,1,sports & leisure,luggage & travel,suitcases,neutral,neutral,72.99,unit,Cyril
2579,A4 48 Pages Colouring Book for Boys by World of Colour,https://www.tesco.com/groceries/en-GB/products/325321389,sports & leisure > hobbies & creative arts > art & crafts materials & supplies,2/10/2025,4.99,4.99 / each,,,1,sports & leisure,hobbies & creative arts,art & crafts materials & supplies,neutral,neutral,4.99,unit,Cyril
787,HOMCOM 25kg Adjustable 2 IN 1 Barbell Dumbbells Weight Set for Fitness,www.tesco.com/groceries/en-GB/products/325114656,sports & leisure > weight training > dumbbells,1/17/2025,43.99,43.99 / each,,,1,sports & leisure,weight training,dumbbells,neutral,neutral,43.99,unit,Cyril
396,Lightweight Black Hard Shell ABS Suitcase Set Luggage Travel Trolley Set of 3 Cabin Cases,www.tesco.com/groceries/en-GB/products/325115223,sports & leisure > luggage & travel > suitcases,1/15/2025,69.99,69.99 / each,,,1,sports & leisure,luggage & travel,suitcases,neutral,neutral,69.99,unit,Cyril
2595,OHS 4 Wheel Hard Shell Travel Luggage Suitcase Set of 3 - Lilac,www.tesco.com/groceries/en-GB/products/325101729,sports & leisure > luggage & travel > suitcases,2/10/2025,72.99,72.99 / each,,,1,sports & leisure,luggage & travel,suitcases,neutral,neutral,72.99,unit,Cyril
44,West Ham United FC Unisex Adult Hoodie Blanket - Claret Red/Sky Blue - One Size,www.tesco.com/groceries/en-GB/products/325253325,sports & leisure > sports memorabilia & gifting > clothing > footwear & accessories,1/3/2025,33.99,33.99 / each,,,1,sports & leisure,sports memorabilia & gifting,clothing,neutral,neutral,33.99,unit,Cyril
12775,Guardium Acid Reflux Tablets,https://www.waitrose.com/ecom/products/guardium-acid-reflux-tablets/433163-672257-672258,toiletries > health & beauty > pharmacy & health > digestive health > heartburn & indigestion,2/12/2025,12.6,90p each,,,8,toiletries,health & beauty,pharmacy & health,neutral,neutral,90,unit,Cyril
12591,Kent Small Mixed Bristle Brush,https://www.waitrose.com/ecom/products/kent-small-mixed-bristle-brush/615902-769764-769765,toiletries > health & beauty > hair care > hair accessories,2/12/2025,9.5,£9.50 each,,,8,toiletries,health & beauty,hair care,neutral,neutral,9.5,unit,Cyril
15178,L'Oréal Elvive Bond Repair Pre-Shampoo,https://www.waitrose.com/ecom/products/loral-elvive-bond-repair-preshampoo/815180-800668-800669,toiletries > health & beauty > hair care > shampoo,2/12/2025,16.8,£8.40/100ml,,,8,toiletries,health & beauty,hair care,neutral,neutral,84,lt,Cyril
15138,Dove DermaSpa Fair to Medium Body Lotion,https://www.waitrose.com/ecom/products/dove-dermaspa-fair-to-medium-body-lotion/805732-711278-711279,toiletries > health & beauty > holiday shop > holiday preparation > self tanning,2/12/2025,8.95,£4.48/100ml,,,8,toiletries,health & beauty,holiday shop,neutral,neutral,44.8,lt,Cyril
15774,Safe + Sound Travel Bottles,https://www.waitrose.com/ecom/products/safe--sound-travel-bottles/800138-168694-168695,toiletries > health & beauty > holiday shop > travel essentials,2/12/2025,5.25,£1.75 each,,,8,toiletries,health & beauty,holiday shop,neutral,neutral,1.75,unit,Cyril
14236,Baylis & Harding Goodness Rose & Geranium Body Wash,https://www.waitrose.com/ecom/products/baylis--harding-goodness-rose--geranium-body-wash/790791-724054-724055,toiletries > health & beauty > bath > shower & soap > shower gels & body wash > shower gels & body wash > family & everyday,2/12/2025,3.15,63p/100ml,,4.2,8,toiletries,health & beauty,bath,neutral,neutral,63,lt,Cyril
16257,Oral-B Pro Expert Criss Cross Toothbrushes 3 Pack,https://www.waitrose.com/ecom/products/oralb-pro-expert-criss-cross-toothbrushes-3-pack/943703-835634-835635,toiletries > health & beauty > dental care > toothbrushes > manual toothbrushes,2/12/2025,6,£2 each,,,8,toiletries,health & beauty,dental care,neutral,neutral,2,unit,Cyril
12296,Natracare Ultra Extra Pads Super,https://www.waitrose.com/ecom/products/natracare-ultra-extra-pads-super/604965-696166-696167,toiletries > health & beauty > period & intimate care > period pads > heavy flow,2/12/2025,2.2,22p each,,2.75,8,toiletries,health & beauty,period & intimate care,neutral,neutral,22,unit,Cyril
15297,Nivea Roll On Pearl & Beauty,https://www.waitrose.com/ecom/products/nivea-roll-on-pearl--beauty/899190-168867-168868,toiletries > health & beauty > holiday shop > holiday toiletries > travel toiletries,2/12/2025,2,£8/100ml,,,8,toiletries,health & beauty,holiday shop,neutral,neutral,80,lt,Cyril
7779,Garnier Olia 6.66 Vivid Garnet Red Permanent Hair Dye,http://groceries.asda.com/product/hair-care-dye--styling/garnier-olia--vivid-garnet-red-permanent-hair-dye/910001707075,toiletries & beauty > hair care > dye & styling > hair dye > permanent hair dye,2/12/2025,10,£10.00/each,,,3,toiletries & beauty,hair care,dye & styling,neutral,neutral,10,unit,Cyril
7890,NIVEA 2-In-1 Cleanser & Toner for Normal & Combination Skin ,https://groceries.morrisons.com/products/nivea-2-in-1-cleanser--toner-for-normal--combination-skin/100760322,toiletries & beauty > skin care > facial cleaners > toners & face masks > cleansers,2/12/2025,5,,,,4,toiletries & beauty,skin care,facial cleaners,neutral,neutral,,,Cyril
10367,Aussie Curls Shampoo,https://groceries.morrisons.com/products/aussie-curls-shampoo/113253611,toiletries & beauty > hair care > shampoo & conditioner > shampoo,2/12/2025,4.5,,,,4,toiletries & beauty,hair care,shampoo & conditioner,neutral,neutral,,,Cyril
4253,ASDA Sleep & Relax Bath Soak Lavender Extract,http://groceries.asda.com/product/bath-shower--soap/asda-sleep--relax-bath-soak-lavender-extract/1000216700388,toiletries & beauty > bath > shower & soap > bubble bath & bath soaks > bubble bath & bath soaks,2/11/2025,1,20.0p/100ml,,,3,toiletries & beauty,bath,shower & soap,neutral,neutral,20,lt,Cyril
7883,NIVEA Q10 Anti-Wrinkle Day Cream for 60+ Mature Skin SPF15 ,https://groceries.morrisons.com/products/nivea-q10-anti-wrinkle-day-cream-for-60-mature-skin-spf15/111033147,toiletries & beauty > skin care > facial moisturising > day cream,2/12/2025,16,,,,4,toiletries & beauty,skin care,facial moisturising,neutral,neutral,,,Cyril
9590,Morrisons Kids Toothbrushes 3+ Years ,https://groceries.morrisons.com/products/morrisons-kids-toothbrushes-3-years/111867387,toiletries & beauty > dental care > childrens > toothbrushes,2/12/2025,0.96,,,,4,toiletries & beauty,dental care,childrens,neutral,neutral,,,Cyril
5977,Bodyform Intimawear Period Pants Washable Underwear Black Size M,https://groceries.morrisons.com/products/bodyform-intimawear-period-pants-washable-underwear-black-size-m/112845631,toiletries & beauty > period products > sustainables and reusables,2/12/2025,16,,,,4,toiletries & beauty,period products,sustainables and reusables,neutral,neutral,,,Cyril
12116,L'Oreal Preference Infinia 9.1 Viking Light Ash Blonde Hair Dye,http://groceries.asda.com/product/hair-care-dye--styling/loreal-preference-infinia--viking-light-ash-blonde-hair-dye/910002156391,toiletries & beauty > hair care > dye & styling > hair dye > permanent hair dye,2/12/2025,12,£12.00/each,,,3,toiletries & beauty,hair care,dye & styling,neutral,neutral,12,unit,Cyril
14514,Lure Beauty 20 Thin Snagfree Bands Black,http://groceries.asda.com/product/hair-care-dye--styling/lure-beauty--thin-snagfree-bands-black/1000383192746,toiletries & beauty > hair care > dye & styling > hair accessories > hair bobbles & bands,2/12/2025,1.5,7.5p/each,,,3,toiletries & beauty,hair care,dye & styling,neutral,neutral,7.5,unit,Cyril
18315,Macleans Fresh Mint Fluoride Toothpaste 100ml,https://www.sainsburys.co.uk/gol-ui/product/macleans-fresh-mint-fluoride-toothpaste-100ml,toiletries & health > toiletries & health essentials,2/12/2025,1.2,£1.20 / 100ml,,1.2,2,toiletries & health,toiletries & health essentials,,neutral,neutral,12,lt,Cyril
10967,Trip Orange Blossom CBD Oil 300mg 15ml,https://www.sainsburys.co.uk/gol-ui/product/trip-orange-blossom-cbd-oil-300mg-15ml,toiletries & health > toiletries & health essentials,2/12/2025,15,£1000.00 / ltr,,15,2,toiletries & health,toiletries & health essentials,,neutral,neutral,1000,lt,Cyril
18566,Sainsbury's Hayfever & Allergy Loratadine x14,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-hayfever---allergy-relief-non-drowsy-x14,toiletries & health > toiletries & health essentials,2/12/2025,1.95,14p / ea,,1.95,2,toiletries & health,toiletries & health essentials,,neutral,neutral,14,unit,Cyril
16586,Bodyform Intimawear Period Underwear Bikini Black S,https://www.sainsburys.co.uk/gol-ui/product/bodyform-intimawear-period-underwear-bikini-black-s,toiletries & health > toiletries & health essentials,2/12/2025,20.5,£20.50 / ea,,20.5,2,toiletries & health,toiletries & health essentials,,neutral,neutral,20.5,unit,Cyril
17192,Colgate Cavity Protection Toothpaste Pump 100ml,https://www.sainsburys.co.uk/gol-ui/product/colgate-cavity-protection-fluoride-toothpaste--pump-100ml,toiletries & health > toiletries & health essentials,2/12/2025,2,£2.00 / 100ml,,2,2,toiletries & health,toiletries & health essentials,,neutral,neutral,20,lt,Cyril
5687,Always Discreet Incontinence Pads Normal For Sensitive Bladder x12,https://www.sainsburys.co.uk/gol-ui/product/always-discreet-incontinence-pads-normal-for-sensitive-bladder-x12,toiletries & health > toiletries & health essentials,2/12/2025,2.75,23p / ea,,2.75,2,toiletries & health,toiletries & health essentials,,neutral,neutral,23,unit,Cyril
14461,Trip Orange Blossom CBD Oil 1000mg 15ml,https://www.sainsburys.co.uk/gol-ui/product/trip-orange-blossom-cbd-oil-1000mg-15ml,toiletries & health > toiletries & health essentials,2/12/2025,25,£1666.67 / ltr,,25,2,toiletries & health,toiletries & health essentials,,neutral,neutral,1666.67,lt,Cyril
19168,Gillette Sensitive Skin Shaving Gel 200ml,https://www.sainsburys.co.uk/gol-ui/product/gillette-shave-gel--sensitive-skin-200ml,toiletries & health > toiletries & health essentials,2/12/2025,1.7,85p / 100ml,,1.7,2,toiletries & health,toiletries & health essentials,,neutral,neutral,85,lt,Cyril
20038,Oral-B Pro Expert Professional Protection Clean Mint Toothpaste 75ml,https://www.sainsburys.co.uk/gol-ui/product/oral-b-all-around-protection-clean-mint-toothpaste-75ml,toiletries & health > toiletries & health essentials,2/12/2025,3.5,£4.67 / 100ml,2.5,,2,toiletries & health,toiletries & health essentials,,neutral,neutral,46.7,lt,Cyril
